@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
441,'2023/12/05 09:09:59:501',6,-200,?,?
442,'2023/12/05 09:09:59:550',6,-200,?,?
443,'2023/12/05 09:09:59:603',6,-200,?,?
444,'2023/12/05 09:09:59:658',6,-200,?,?
445,'2023/12/05 09:09:59:714',6,-200,?,?
446,'2023/12/05 09:09:59:775',6,-200,?,?
447,'2023/12/05 09:09:59:828',6,-200,?,?
448,'2023/12/05 09:09:59:886',6,-200,?,?
449,'2023/12/05 09:09:59:943',6,-200,?,?
450,'2023/12/05 09:09:59:992',6,-200,?,?
451,'2023/12/05 09:10:00:043',6,-200,?,?
452,'2023/12/05 09:10:00:092',6,-200,?,?
453,'2023/12/05 09:10:00:146',6,-200,?,?
454,'2023/12/05 09:10:00:200',6,-200,?,?
455,'2023/12/05 09:10:00:254',6,-200,?,?
456,'2023/12/05 09:10:00:302',6,-200,?,?
457,'2023/12/05 09:10:00:358',6,-200,?,?
458,'2023/12/05 09:10:00:413',6,-200,?,?
459,'2023/12/05 09:10:00:465',6,-200,?,?
460,'2023/12/05 09:10:00:517',6,-200,?,?
461,'2023/12/05 09:10:00:571',6,-200,?,?
462,'2023/12/05 09:10:00:628',6,-200,?,?
463,'2023/12/05 09:10:00:674',6,-200,?,?
464,'2023/12/05 09:10:00:723',6,-200,?,?
465,'2023/12/05 09:10:00:776',6,-200,?,?
466,'2023/12/05 09:10:00:830',6,-200,?,?
467,'2023/12/05 09:10:00:891',6,-200,?,?
468,'2023/12/05 09:10:00:942',6,-200,?,?
469,'2023/12/05 09:10:00:996',6,-200,?,?
470,'2023/12/05 09:10:01:048',6,-200,?,?
471,'2023/12/05 09:10:01:107',6,-200,?,?
472,'2023/12/05 09:10:01:159',6,-200,?,?
473,'2023/12/05 09:10:01:213',6,-200,?,?
474,'2023/12/05 09:10:01:276',6,-200,?,?
475,'2023/12/05 09:10:01:328',6,-200,?,?
476,'2023/12/05 09:10:01:382',6,-200,?,?
477,'2023/12/05 09:10:01:437',6,-200,?,?
478,'2023/12/05 09:10:01:492',6,-200,?,?
479,'2023/12/05 09:10:01:542',6,-200,?,?
480,'2023/12/05 09:10:01:593',6,-200,?,?
481,'2023/12/05 09:10:01:647',6,-200,?,?
482,'2023/12/05 09:10:01:702',6,-200,?,?
